title,description,imgUrl,price,location
"Xiaomi Redmi 8 , (Used)","Dhaka, Mobile Phones",https://i.bikroy-st.com/xiaomi-redmi-8-used-for-sale-dhaka-4391/a6634413-8954-409a-a024-c51d0e02e481/142/107/cropped.jpg,"Tk 9,500",Dhaka
OPPO A5 2020 4+3/128GB (Used),"Dhaka, Mobile Phones",https://i.bikroy-st.com/oppo-a5-2020-43-128gb-used-for-sale-dhaka/3a5478d4-0256-47e7-a9d1-68b8cabd2bb9/142/107/cropped.jpg,"Tk 8,000",Dhaka
Nokia 6600 (Used),"Dhaka, Mobile Phones",https://i.bikroy-st.com/nokia-6600-used-for-sale-dhaka-53/9a8357b4-8e2f-43c4-bf7b-c1fc2ed3ecb0/142/107/cropped.jpg,"Tk 2,800",Dhaka
Xiaomi Redmi 4X . (Used),"Dhaka, Mobile Phones",https://i.bikroy-st.com/xiaomi-redmi-4x-1-used-for-sale-dhaka-5/e670d8ed-2a3e-4329-8953-3a7ff921690d/142/107/cropped.jpg,"Tk 3,000",Dhaka
Samsung Galaxy A51 . (Used),"Rajshahi, Mobile Phones",https://i.bikroy-st.com/samsung-galaxy-a51-used-for-sale-rajshahi-552/c98a4add-f044-4084-92f4-2aab5d3f8f77/142/107/cropped.jpg,"Tk 7,500",Rajshahi
Huawei Y7 . (Used),"Khulna, Mobile Phones",https://i.bikroy-st.com/huawei-y7-used-for-sale-khulna-168/512d48d4-4d0d-4fa4-961d-6a1a7020f9ee/142/107/cropped.jpg,"Tk 7,000",Khulna
"Xiaomi Redmi Note 8 Pro , (Used)","Dhaka Division, Mobile Phones",https://i.bikroy-st.com/xiaomi-redmi-note-8-pro-used-for-sale-dhaka-division-904/b40cb4fe-9515-47d2-b0b6-1eace649cb59/142/107/cropped.jpg,"Tk 9,500",Dhaka Division
OPPO A37 2/16 (Used),"Chattogram, Mobile Phones",https://i.bikroy-st.com/oppo-a37-2-16-used-for-sale-chattogram-13/49fa3f8b-8a43-4237-a830-85949deed37a/142/107/cropped.jpg,"Tk 3,200",Chattogram
i phn charger,"Dhaka Division, Mobile Phone Accessories",https://i.bikroy-st.com/i-phn-carjar-for-sale-dhaka-division/bd096aed-1bbe-46af-99f5-a74bc039abe3/142/107/cropped.jpg,Tk 800,Dhaka Division
সিম মেমোরি সাপোর্টেড স্মার্ট ওয়াচ DZ09 Sim Memory Supported Smart Watch,"Chattogram Division, Wearables",https://i.bikroy-st.com/sim-memori-saaporttedd-smaartt-oyaac-dz09-sim-memory-supported-smart-watch-for-sale-chattogram-division-7/239a29b7-9ae3-48c8-bf38-8c951fcf6265/142/107/cropped.jpg,Tk 899,Chattogram Division
Samsung Galaxy A30 4/64 (Used),"Dhaka, Mobile Phones",https://i.bikroy-st.com/samsung-galaxy-a30-4-64-used-for-sale-dhaka-2337/72c4f16a-a164-4834-b99e-2584708a73d9/142/107/cropped.jpg,"Tk 6,000",Dhaka
Apple 20W original charger,"Dhaka Division, Mobile Phone Accessories",https://i.bikroy-st.com/apple-20w-original-charger-for-sale-dhaka-division-1/10305613-6038-4240-a97f-32a50503924c/142/107/cropped.jpg,"Tk 2,900",Dhaka Division
Realme Narzo 50i (Used),"Chattogram, Mobile Phones",https://i.bikroy-st.com/realme-narzo-50i-used-for-sale-chattogram-55/556b8e6a-29cc-4129-b321-2b1c39762d96/142/107/cropped.jpg,"Tk 9,000",Chattogram
Symphony i10 . (Used),"Rajshahi, Mobile Phones",https://i.bikroy-st.com/symphony-i10-aasl-used-for-sale-rajshahi-4/e6c73220-c2c0-4860-ac1a-1e3f2d440da2/142/107/cropped.jpg,"Tk 3,000",Rajshahi
Samrt Watch,"Mymensingh, Wearables",https://i.bikroy-st.com/samrt-watch-fresh-only-1-month-15-day-used-for-sale-mymensingh/536d8724-805f-4553-88df-8b2416469fc6/142/107/cropped.jpg,"Tk 1,800",Mymensingh
Samsung Galaxy A12 4/128 (Used),"Chattogram, Mobile Phones",https://i.bikroy-st.com/samsung-galaxy-a12-4-128-used-for-sale-chattogram-41/d999ed95-e416-4011-b6c5-7042e94a34d0/142/107/cropped.jpg,"Tk 8,500",Chattogram
Xiaomi Redmi 9C (Used),"Chattogram Division, Mobile Phones",https://i.bikroy-st.com/aamra-used-for-sale-chattogram-division-434/b38dfcba-d4f4-4c90-b857-6d7abfd553fd/142/107/cropped.jpg,"Tk 6,500",Chattogram Division
"Samsung Galaxy S21 FE 5G , (Used)","Dhaka, Mobile Phones",https://i.bikroy-st.com/samsung-galaxy-s21-fe-5g-used-for-sale-dhaka-283/c29051f4-041b-40ce-a4da-5bce614c9c18/142/107/cropped.jpg,"Tk 41,000",Dhaka
OnePlus 8 (Used),"Dhaka, Mobile Phones",https://i.bikroy-st.com/oneplus-8-new-for-sale-dhaka-71/274e7ce2-4768-4e00-a7e6-a0860f0e9a7a/142/107/cropped.jpg,"Tk 25,500",Dhaka
"Realme C15 Qualcomm Edition , (Used)","Rajshahi, Mobile Phones",https://i.bikroy-st.com/realme-c15-qualcomm-edition-aasl-used-for-sale-rajshahi/deeb61b3-955c-42e6-bc46-642f792f4fb7/142/107/cropped.jpg,"Tk 8,500",Rajshahi
Vivo Y91c 4G (Used),"Dhaka, Mobile Phones",https://i.bikroy-st.com/vivo-y91c-4g-used-for-sale-dhaka/cc02b421-effb-448e-82ae-3c1de6eb7913/142/107/cropped.jpg,"Tk 4,200",Dhaka
Xiaomi Poco X3 Pro 6/128 (Used),"Chattogram, Mobile Phones",https://i.bikroy-st.com/xiaomi-poco-x3-pro-6-128-used-for-sale-chattogram-268/09c7d8b5-bcae-47b8-af72-c807f96cea3a/142/107/cropped.jpg,"Tk 17,000",Chattogram
Samsung Guru Music 2 SM-B310E (Used),"Rangpur, Mobile Phones",https://i.bikroy-st.com/samsung-guru-music-2-sm-b310e-used-for-sale-rangpur-3/b840a5fc-f9a6-4184-9118-c2c4a1761bda/142/107/cropped.jpg,"Tk 1,500",Rangpur
"Xiaomi Redmi 5A , (Used)","Dhaka Division, Mobile Phones",https://i.bikroy-st.com/xiaomi-redmi-5a-2017-used-for-sale-dhaka-division-4/f121aa08-5282-460a-9745-439c90fe1172/142/107/cropped.jpg,"Tk 2,600",Dhaka Division
Realme 4+64 (Used),"Khulna Division, Mobile Phones",https://i.bikroy-st.com/464-used-for-sale-khulna-division/f199f27d-663a-4593-bc5f-584b6567bf70/142/107/cropped.jpg,"Tk 5,800",Khulna Division
"Samsung Galaxy S20 Plus , (Used)","Rajshahi Division, Mobile Phones",https://i.bikroy-st.com/samsung-galaxy-s20-plus-used-for-sale-rajshahi-division-44/c94aff81-eca7-45b1-9642-7867027c3eda/142/107/cropped.jpg,"Tk 25,000",Rajshahi Division
Smart Watch hw16,"Dhaka, Wearables",https://i.bikroy-st.com/smart-watch-hw16-for-sale-dhaka/4e99c2e2-1a3e-4fe6-9ea5-d9487dd8df2d/142/107/cropped.jpg,"Tk 2,000",Dhaka
OPPO A3s Good (Used),"Dhaka, Mobile Phones",https://i.bikroy-st.com/oppo-a3s-good-used-for-sale-dhaka-25/be1a20ab-fa38-439e-a486-f5767678e9ee/142/107/cropped.jpg,"Tk 8,000",Dhaka
Samsung Galaxy A52 4G (Used),"Dhaka, Mobile Phones",https://i.bikroy-st.com/samsung-galaxy-a52-4g-used-for-sale-dhaka-35/20c79ec1-b66c-4f05-b2bf-91d67eeff986/142/107/cropped.jpg,"Tk 19,000",Dhaka
Samsung Galaxy J3 . (Used),"Dhaka, Mobile Phones",https://i.bikroy-st.com/samsung-galaxy-j3-android-used-for-sale-dhaka-1/4609af57-8bb7-4c80-9cb5-d919903063ed/142/107/cropped.jpg,"Tk 3,000",Dhaka
Samsung Note 10+ 12/256 (Used),"Khulna Division, Mobile Phones",https://i.bikroy-st.com/samsung-note-10-12-256-full-fresh-used-for-sale-khulna-division-1/235c56a7-6982-45f8-801c-855b90baee81/142/107/cropped.jpg,"Tk 37,500",Khulna Division
"Samsung Galaxy A20s , (Used)","Dhaka, Mobile Phones",https://i.bikroy-st.com/samsung-galaxy-a20s-m-used-for-sale-dhaka/a344bb82-c99e-4455-a175-91c68309b9ed/142/107/cropped.jpg,"Tk 7,000",Dhaka
Samsung Galaxy A32 6/128 (Used),"Khulna, Mobile Phones",https://i.bikroy-st.com/samsung-galaxy-a32-6-128-used-for-sale-khulna-66/5614c963-992b-4ec0-a99c-38c643a04414/142/107/cropped.jpg,"Tk 9,800",Khulna
OPPO A17 k 3/64 (Used),"Rajshahi, Mobile Phones",https://i.bikroy-st.com/oppo-a17-k-3-63gb-ram-rom-used-for-sale-rajshahi-1/3a156601-9127-456f-a485-a522a08641c9/142/107/cropped.jpg,"Tk 8,500",Rajshahi
WS57 Infinite Display impoted from China,"Dhaka, Wearables",https://i.bikroy-st.com/ws57-infinite-display-impoted-from-china-for-sale-dhaka/6dec76d4-3c83-462f-9ea3-47f84095cfda/142/107/cropped.jpg,"Tk 1,000",Dhaka
Samsung Galaxy A90 5G_6/128 (Used),"Dhaka, Mobile Phones",https://i.bikroy-st.com/samsung-galaxy-a90-5g-6-128-used-for-sale-dhaka-17/d93d3ac9-d84a-4f82-a7aa-3e6402b0f4cd/142/107/cropped.jpg,"Tk 9,600",Dhaka
OnePlus Nord CE 3 Lite. 8/128gb (Used),"Dhaka, Mobile Phones",https://i.bikroy-st.com/oneplus-nord-ce-3-lite-8-128gb-used-for-sale-dhaka-2/1105d3da-2cc4-46af-b7c4-b4b33c6f1775/142/107/cropped.jpg,"Tk 22,500",Dhaka
Samsung Galaxy J2 . (Used),"Khulna, Mobile Phones",https://i.bikroy-st.com/samsung-galaxy-j2-puraaton-used-for-sale-khulna/6b930889-1f2b-4fea-90dc-1d424bf20150/142/107/cropped.jpg,"Tk 2,500",Khulna
Samsung Galaxy M02 একদম নতুনের মতো (Used),"Rajshahi Division, Mobile Phones",https://i.bikroy-st.com/samsung-galaxy-m02-ekdm-ntuner-mto-used-for-sale-rajshahi-division/79a7dc01-5688-4728-8079-e9c7eb615830/142/107/cropped.jpg,"Tk 4,500",Rajshahi Division
OPPO A17 4/64gb (Used),"Rajshahi, Mobile Phones",https://i.bikroy-st.com/oppo-a17-4-64gb-indian-phone-used-for-sale-rajshahi-6/4cc8de2e-3d56-4710-be89-5963261deaa8/142/107/cropped.jpg,"Tk 9,999",Rajshahi
Xiaomi Redmi Note 7 . (Used),"Dhaka, Mobile Phones",https://i.bikroy-st.com/redmi-note-7-for-sale-dhaka-20/be9e0ab8-cc95-4d59-a9bf-1005e49f6b6e/142/107/cropped.jpg,"Tk 9,000",Dhaka
Apple iPhone 6 . (Used),"Sylhet, Mobile Phones",https://i.bikroy-st.com/apple-iphone-6-used-for-sale-sylhet-3057/db08b423-349a-4b21-9937-aa73eb0f7ae0/142/107/cropped.jpg,"Tk 4,500",Sylhet
Samsung Galaxy M20 . (Used),"Dhaka, Mobile Phones",https://i.bikroy-st.com/samsung-galaxy-m20-used-for-sale-dhaka-3386/898b5c3b-83fd-4bc0-9473-4a741214effa/142/107/cropped.jpg,"Tk 2,500",Dhaka
Apple iPhone 6 Mobile (Used),"Dhaka, Mobile Phones",https://i.bikroy-st.com/apple-iphone-6-i-phone-used-for-sale-dhaka-964/01c8d7c1-9536-4089-b7b5-1d787349b25a/142/107/cropped.jpg,"Tk 8,000",Dhaka
"Xiaomi Redmi 10 , (Used)","Barishal Division, Mobile Phones",https://i.bikroy-st.com/xiaomi-redmi-10-2023-used-for-sale-barishal-division/3a8a0f0d-656b-4f40-863f-ccf111f8ae89/142/107/cropped.jpg,"Tk 13,500",Barishal Division
Xiaomi Poco C3 Full Fresh (Used),"Dhaka, Mobile Phones",https://i.bikroy-st.com/xiaomi-poco-c3-full-fresh-used-for-sale-dhaka-6/cbcc969f-9ab4-46e1-9082-5d5ecd43c6fc/142/107/cropped.jpg,"Tk 8,000",Dhaka
Apple iPhone 6 Plus . (Used),"Dhaka, Mobile Phones",https://i.bikroy-st.com/apple-iphone-6-plus-full-farish-used-for-sale-dhaka-1/eabb41a3-0f9b-486e-bf99-3454489804f7/142/107/cropped.jpg,"Tk 12,000",Dhaka
Tecno phone (Used),"Khulna, Mobile Phones",https://i.bikroy-st.com/tecno-used-for-sale-khulna-564/7ae97df8-47c4-4a18-87f8-38aef2c09940/142/107/cropped.jpg,"Tk 2,500",Khulna
Walton Button Phone (Used),"Dhaka, Mobile Phones",https://i.bikroy-st.com/walton-used-for-sale-dhaka-3220/da386596-d57c-4145-b090-b7151f08336e/142/107/cropped.jpg,Tk 549,Dhaka
poco x3 pro motherboard need,"Dhaka Division, Mobile Phone Accessories",,,Dhaka Division
"Xiaomi Redmi 5A , (Used)","Dhaka Division, Mobile Phones",https://i.bikroy-st.com/xiaomi-redmi-5a-2bchr-bybhaar-hyyeche-used-for-sale-dhaka-division/1981f6d3-8096-44ed-a72a-b3cc13eaafb2/142/107/cropped.jpg,"Tk 3,000",Dhaka Division
Xiaomi Redmi Note 3 (Used),"Dhaka, Mobile Phones",https://i.bikroy-st.com/xiaomi-redmi-note-3-used-for-sale-dhaka-2996/308b12f2-a4b8-4873-8fef-9ca81eaf0ebc/142/107/cropped.jpg,"Tk 5,000",Dhaka
Samsung Galaxy On5 fresh fhn (Used),"Dhaka, Mobile Phones",https://i.bikroy-st.com/samsung-galaxy-on5-fresh-fhn-used-for-sale-dhaka/7730d765-ad15-4b0b-9710-56e9d9e47eca/142/107/cropped.jpg,"Tk 2,300",Dhaka
Realme C20 (Used),"Khulna, Mobile Phones",https://i.bikroy-st.com/realme-c20-used-for-sale-khulna-3/4e0ac451-87c5-4afc-a870-60daf72e4943/142/107/cropped.jpg,"Tk 6,000",Khulna
Oneplus Original 65 watt warp charger.,"Dhaka, Mobile Phone Accessories",https://i.bikroy-st.com/oneplus-original-65-watt-warp-charger-for-sale-dhaka/73d6173b-559b-445e-a74a-19fe93588989/142/107/cropped.jpg,"Tk 1,450",Dhaka
T800 ultra,"Mymensingh, Wearables",https://i.bikroy-st.com/t800-ultra-for-sale-mymensingh-2/f9cb36b3-27d4-4b0b-a5fb-57d75683b174/142/107/cropped.jpg,"Tk 1,200",Mymensingh
Samsung Galaxy A20 ফ্রেস কন্ডিশন (Used),"Rajshahi Division, Mobile Phones",https://i.bikroy-st.com/samsung-galaxy-a20-phres-knddishn-used-for-sale-rajshahi-division/181837ec-d6f8-45f7-ac8a-9455260f8601/142/107/cropped.jpg,"Tk 5,500",Rajshahi Division
Realme C11 2gb/32gb (Used),"Dhaka, Mobile Phones",https://i.bikroy-st.com/realme-c11-2gb-32gb-used-for-sale-dhaka-105/e229d4cf-959c-4b50-b896-99c114af8ed2/142/107/cropped.jpg,"Tk 5,000",Dhaka
মোবাইল কিনবো,"Dhaka Division, Mobile Phones",,,Dhaka Division
Samsung Galaxy 5plus,"Dhaka, Wearables",https://i.bikroy-st.com/samsung-galaxy-5plus-for-sale-dhaka/cb206a02-9532-4d62-8f59-6ed03f56cdb0/142/107/cropped.jpg,"Tk 18,000",Dhaka
Vivo Y12s 12s 4/64 (Used),"Dhaka Division, Mobile Phones",https://i.bikroy-st.com/vivo-y12s-g12s-4-64-used-for-sale-dhaka-division/06e78949-db61-4677-ab87-91b822fbd278/142/107/cropped.jpg,"Tk 7,000",Dhaka Division
Samsung Galaxy A13 ram6/rom128 (Used),"Rajshahi, Mobile Phones",https://i.bikroy-st.com/samsung-galaxy-a13-ram6rom128-used-for-sale-rajshahi/6e77c879-5268-4fd7-92e8-6fa1f0abee82/142/107/cropped.jpg,"Tk 13,500",Rajshahi
OPPO F1s . (Used),"Dhaka Division, Mobile Phones",https://i.bikroy-st.com/oppo-f1s-new-used-for-sale-dhaka-division-1/d6fc54d0-0d0a-4e6b-a505-f2d97e26c2b9/142/107/cropped.jpg,"Tk 9,400",Dhaka Division
Apple iPhone XR 256gb (Used),"Dhaka, Mobile Phones",https://i.bikroy-st.com/apple-iphone-xr-256gb-used-for-sale-dhaka-95/9a77292f-a06c-4934-8feb-4279fd78c666/142/107/cropped.jpg,"Tk 26,000",Dhaka
Huawei Honor .. (Used),"Dhaka, Mobile Phones",https://i.bikroy-st.com/huawei-honor-x8-used-for-sale-dhaka-12/c3e34c15-d4e4-4dee-b8ac-bd13bad691b3/142/107/cropped.jpg,"Tk 9,999",Dhaka
Xiaomi Poco F2 Pro 8/256gb (Used),"Rajshahi, Mobile Phones",https://i.bikroy-st.com/xiaomi-poco-f2-pro-8-256gb-used-for-sale-rajshahi/e4f31486-acec-46bb-b2cc-5086b13fef2a/142/107/cropped.jpg,"Tk 9,898",Rajshahi
Xiaomi Redmi Note 5A Prime (Used),"Dhaka, Mobile Phones",https://i.bikroy-st.com/xiaomi-redmi-note-5a-prime-used-for-sale-dhaka-1002/896efe41-556d-4aef-9110-0b3a0590de69/142/107/cropped.jpg,"Tk 4,000",Dhaka
Symphony V130 (Used),"Sylhet, Mobile Phones",https://i.bikroy-st.com/china-mobile-symphony-v130-used-for-sale-sylhet/30be6566-2245-47fe-8b40-e6e100a63600/142/107/cropped.jpg,"Tk 1,200",Sylhet
Nokia 105 . (Used),"Dhaka, Mobile Phones",https://i.bikroy-st.com/nokia-105-used-for-sale-dhaka-3971/f023698a-1790-4b68-b4f0-45fe89aa3322/142/107/cropped.jpg,Tk 900,Dhaka
Samsung Galaxy M02 3 32 (Used),"Rangpur, Mobile Phones",https://i.bikroy-st.com/samsung-galaxy-m02-3-32-used-for-sale-rangpur-50/ee133055-bc1f-4206-8de8-fe7a6f196944/142/107/cropped.jpg,"Tk 3,700",Rangpur
Nokia .mobile (Used),"Rajshahi Division, Mobile Phones",https://i.bikroy-st.com/apple-iphone-15-pro-max-nokia-used-for-sale-rajshahi-division/195a0f34-4a55-4bc5-8516-779de442e344/142/107/cropped.jpg,Tk 999,Rajshahi Division
Xiaomi Redmi 9 4/64 indian (Used),"Rajshahi, Mobile Phones",https://i.bikroy-st.com/xiaomi-redmi-9-4-64-indian-used-for-sale-rajshahi-1/fb0cc264-0e73-4e6e-a3db-15846c76cbc2/142/107/cropped.jpg,"Tk 8,700",Rajshahi
Samsung Galaxy M51 . (Used),"Dhaka, Mobile Phones",https://i.bikroy-st.com/samsung-galaxy-m51-good-used-for-sale-dhaka-12/f9a442d4-f66d-4dd6-bb2a-167d4233ce5f/142/107/cropped.jpg,"Tk 9,000",Dhaka
Itel Vision 1 Pro . (Used),"Chattogram, Mobile Phones",https://i.bikroy-st.com/itel-vision-1-pro-shafawat-used-for-sale-chattogram/8096497a-221f-4cf3-893f-377dbbb3d0c5/142/107/cropped.jpg,"Tk 5,000",Chattogram
